Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

abba,9,1,^a|z|^v|^n|^p|u|t$,37,23986,1850,60795,true
abba,9,2,^a|z|^v|^n|^p|u|t$,37,23986,1630,60783,true
abba,9,3,^a|z|^v|^n|^p|u|t$,37,23986,1493,61572,true
abba,9,4,^a|z|^v|^n|^p|u|t$,37,23986,1658,61092,true
abba,9,5,^a|z|^v|^n|^p|u|t$,37,23986,2068,60448,true
abba,9,6,^a|z|^v|^n|^p|u|t$,37,23986,2733,60731,true
abba,9,7,^a|z|^v|^n|^p|u|t$,37,23986,1689,60848,true
abba,9,8,^a|z|^v|^n|^p|u|t$,37,23986,1509,60258,true
abba,9,9,^a|z|^v|^n|^p|u|t$,37,23986,1603,60442,true
abba,9,10,^a|z|^v|^n|^p|u|t$,37,23986,1508,60998,true
abba,9,11,^a|z|^v|^n|^p|u|t$,37,23986,1564,60518,true
abba,9,12,^a|z|^v|^n|^p|u|t$,37,23986,1794,60175,true
abba,9,13,^a|z|^v|^n|^p|u|t$,37,23986,2407,61048,true
abba,9,14,^a|z|^v|^n|^p|u|t$,37,23986,1534,60256,true
abba,9,15,^a|z|^v|^n|^p|u|t$,37,23986,1452,61005,true
abba,9,16,^a|z|^v|^n|^p|u|t$,37,23986,1538,60051,true
abba,9,17,^a|z|^v|^n|^p|u|t$,37,23986,1745,60613,true
abba,9,18,^a|z|^v|^n|^p|u|t$,37,23986,1880,60606,true
abba,9,19,^a|z|^v|^n|^p|u|t$,37,23986,2507,61097,true
abba,9,20,^a|z|^v|^n|^p|u|t$,37,23986,2863,60118,true
abba,9,21,^a|z|^v|^n|^p|u|t$,37,23986,1940,60230,true
abba,9,22,^a|z|^v|^n|^p|u|t$,37,23986,1512,61581,true
abba,9,23,^a|z|^v|^n|^p|u|t$,37,23986,1828,60642,true
abba,9,24,^a|z|^v|^n|^p|u|t$,37,23986,1868,60767,true
abba,9,25,^a|z|^v|^n|^p|u|t$,37,23986,1563,60287,true
abba,9,26,^a|z|^v|^n|^p|u|t$,37,23986,1612,60533,true
abba,9,27,^a|z|^v|^n|^p|u|t$,37,23986,1980,61690,true
abba,9,28,^a|z|^v|^n|^p|u|t$,37,23986,1558,60800,true
abba,9,29,^a|z|^v|^n|^p|u|t$,37,23986,1584,61215,true
abba,9,30,^a|z|^v|^n|^p|u|t$,37,23986,4322,61408,true
